word,gloss1,lemma,lemma1,mor,mor2,inCDI,aoa,category,lexical_class
a,a,a,a,det,art,TRUE,27,quantifiers,function_words
a,a,a,a,det,art,TRUE,NA,quantifiers,function_words
a,a,a,a,n,let,TRUE,27,quantifiers,function_words
a,a,a,a,n,let,TRUE,NA,quantifiers,function_words
a,a,a,a,on,NA,TRUE,27,quantifiers,function_words
a,a,a,a,on,NA,TRUE,NA,quantifiers,function_words
a,a,a,a,adv,NA,TRUE,27,quantifiers,function_words
a,a,a,a,adv,NA,TRUE,NA,quantifiers,function_words
a,a,a,a,sing,NA,TRUE,27,quantifiers,function_words
a,a,a,a,sing,NA,TRUE,NA,quantifiers,function_words
a,a,a a,NA,NA,NA,FALSE,NA,NA,NA
a_changa_choo_a_changa_choo_a_change_choo,a_changa_choo_a_changa_choo_a_change_choo,a changa choo a changa choo a change choo,a_changa_choo_a_changa_choo_a_change_choo,singing,NA,FALSE,NA,NA,NA
a_doodle_doo,a_doodle_doo,a doodle doo,a_doodle_doo,on,NA,FALSE,NA,NA,NA
a_lot,a_lot,a lot,a+lot,qn,NA,TRUE,29,quantifiers,function_words
ab,ab,ab,ab,let,NA,FALSE,NA,NA,NA
abcdef,abcdef,abcdef,abcdef,let,NA,FALSE,NA,NA,NA
abcdefg,abcdefg,abcdefg,abcdefg,let,NA,FALSE,NA,NA,NA
abcs,abcs,abc,abc,let,NA,FALSE,NA,NA,NA
abc's,abc's,abc,abc,n,NA,FALSE,NA,NA,NA
abe,abe,abe,abe,n,prop,FALSE,NA,NA,NA
abide,abide,abide,abide,v,NA,FALSE,NA,NA,NA
able,able,able,able,adj,NA,FALSE,NA,NA,NA
abner,abner,abner,abner,n,prop,FALSE,NA,NA,NA
aboard,aboard,aboard,aboard,prep,NA,FALSE,NA,NA,NA
aboard,aboard,aboard,aboard,adv,NA,FALSE,NA,NA,NA
aboom,aboom,aboom,aboom,on,NA,FALSE,NA,NA,NA
about,about,about,about,prep,NA,TRUE,NA,locations,function_words
about,about,about,about,adv,NA,TRUE,NA,locations,function_words
above,above,above,above,prep,NA,TRUE,NA,locations,function_words
abre,abre,abre,abre,L2,NA,FALSE,NA,NA,NA
accident,accident,accident,accident,n,NA,FALSE,NA,NA,NA
accidentally,accidentally,accidentally,NA,NA,NA,FALSE,NA,NA,NA
accidents,accidents,accident,accident,n,NA,FALSE,NA,NA,NA
accordion,accordion,accordion,accordion,n,NA,FALSE,NA,NA,NA
ache,ache,ache,ache,n,NA,FALSE,NA,NA,NA
achoo,achoo,achoo,achoo,co,NA,FALSE,NA,NA,NA
acorn,acorn,acorn,acorn,n,NA,FALSE,NA,NA,NA
acorns,acorns,acorn,acorn,n,NA,FALSE,NA,NA,NA
across,across,across,across,adv,NA,FALSE,NA,NA,NA
across,across,across,across,prep,NA,FALSE,NA,NA,NA
act,act,act,act,part,NA,FALSE,NA,NA,NA
act,act,act,act,v,NA,FALSE,NA,NA,NA
acting,acting,act,act,part,NA,FALSE,NA,NA,NA
acting,acting,act,act,v,NA,FALSE,NA,NA,NA
acting,acting,acting,NA,NA,NA,FALSE,NA,NA,NA
activities,activities,activity,activity,n,NA,FALSE,NA,NA,NA
actually,actually,actually,NA,NA,NA,FALSE,NA,NA,NA
