Speaker,gloss1,total_freq
Anais,a,541
Anais,à,418
Anais,a@l,1
Anais,à_moins,2
Anais,abeilles,1
Anais,abîme,2
Anais,abîmé,1
Anais,abîmer,1
Anais,accroche,5
Anais,accroché,3
Anais,accrochée,3
Anais,accrocher,3
Anais,accroches,2
Anais,adore,1
Anais,agir,1
Anais,agrandi,1
Anais,ah,681
Anais,ai,15
Anais,aider,2
Anais,aïe,85
Anais,ailes,3
Anais,aille,5
Anais,ailleurs,3
Anais,aimant,2
Anais,aime,3
Anais,aimer,3
Anais,aimes,3
Anais,ait,2
Anais,ale@c,1
Anais,Ali,1
Anais,Alibaba,1
Anais,Alice,3
Anais,allais,4
Anais,allait,1
Anais,allé,1
Anais,allée,1
Anais,aller,59
Anais,allez,239
Anais,allo,16
Anais,allô,1
Anais,allons,1
Anais,allumer,1
Anais,alors,276
Anais,amené,5
Anais,amène,10
Anais,amener,2
Anais,amènes,2
Anais,amis,1
Anais,ampoule,1
Anais,Amtaro,2
Anais,amusant,1
Anais,amuse,1
Anais,Ana,237
Anais,Anais,10
Anais,âne,2
Anais,ange,27
Anais,animal,2
Anais,animaux,8
Anais,anniversaire,5
Anais,ans,1
Anais,Ant,1
Anais,antilope,3
Anais,apparemment,3
Anais,appeler,1
Anais,appelle,2
Anais,appelles,12
Anais,apporte,1
Anais,appris,1
Anais,approche,2
Anais,approche-toi,1
Anais,appuie,28
Anais,appuies,4
Anais,appuyer,4
Anais,après,44
Anais,araignée,2
Anais,arbre,6
Anais,arbres,4
Anais,arc+en+ciel,2
Anais,areu@o,1
Anais,argenté,1
Anais,Arielle,6
Anais,arrache,1
Anais,arraché,5
Anais,arracher,1
Anais,arrête,14
Anais,arrêté,4
Anais,arrêter,1
Anais,arrêtes,6
Anais,arrière,1
Anais,arrivais,1
Anais,arrive,8
Anais,arrivé,4
Anais,arrivée,4
Anais,arrivent,1
Anais,arriver,12
Anais,arriveras,3
Anais,arrives,33
Anais,arrose,1
Anais,arroser,1
Anais,arrosoir,1
Anais,as,615
Anais,aspirateur,2
Anais,aspiré,2
Anais,aspirer,2
Anais,aspires,1
Anais,asseoir,1
Anais,assez,9
Anais,assied,10
Anais,assieds,8
Anais,assiette,6
Anais,assiettes,1
Anais,assis,6
Anais,assise,8
Anais,assommé,1
Anais,atata@i,1
Anais,atchoum,7
Anais,Ati,1
Anais,attache,1
Anais,attaché,1
Anais,atteindre,1
Anais,attend,18
Anais,attends,366
Anais,attention,90
Anais,attrapé,2
Anais,attrapée,1
Anais,attraper,7
Anais,au,74
Anais,au-dessous,1
Anais,au-dessus,1
Anais,au_revoir,48
Anais,auge,1
Anais,aujourd'hui,3
Anais,aura,4
Anais,aurais,6
Anais,aurait,5
Anais,auras,1
Anais,auréole,1
Anais,aurez,1
Anais,aussi,139
Anais,autocollantes,1
Anais,autocollants,1
Anais,autour,4
Anais,autre,75
Anais,autrement,6
Anais,autres,35
Anais,aux,15
Anais,avais,9
Anais,avait,21
Anais,avalé,1
Anais,avales,1
Anais,avance,11
Anais,avancer,4
Anais,avances,2
Anais,avant,12
Anais,avec,177
Anais,avez,4
Anais,avion,2
Anais,avions,2
Anais,avis,2
Anais,avoir,11
Anais,avons,2
Anais,ba@i,7
Anais,badaboum,7
Anais,badaboum@i,2
Anais,Bagheera,10
Anais,bagues,1
Anais,bah,172
Anais,baignoire,4
Anais,bain,16
Anais,baisse,1
Anais,baisser,1
Anais,balai,1
Anais,balaie,1
Anais,balaies,1
Anais,balancer,1
Anais,balances,1
Anais,balançoire,4
Anais,balayer,1
Anais,baleine,6
Anais,balle,14
Anais,balles,7
Anais,ballon,35
Anais,ballons,1
Anais,ballot,1
Anais,Baloo,4
Anais,baloo@i,1
Anais,Bambi,4
Anais,banane,3
Anais,bananes,6
Anais,banc,3
Anais,Barbie,22
Anais,barder,1
Anais,Barnabé,1
Anais,barrette,3
Anais,barrettes,1
Anais,barrière,5
Anais,barrières,3
Anais,bas,21
Anais,basculer,1
Anais,basse,3
Anais,bateau,4
Anais,baves,1
Anais,baveux,1
Anais,bazar,1
Anais,be@o,2
Anais,beau,22
Anais,beaucoup,9
Anais,beaux,1
Anais,bébé,75
Anais,bébés,17
Anais,bec,5
Anais,bedon,8
Anais,béh,4
Anais,beige,1
Anais,belle,19
Anais,Belle,6
Anais,ben,279
Anais,Benoîte,1
Anais,besoin,13
Anais,bestial,1
Anais,bestiaux,1
Anais,bestiole,4
Anais,bête,1
Anais,Bête,4
Anais,bêtise,1
Anais,bêtises,7
Anais,beuh,1
Anais,biberon,18
Anais,biberons,1
Anais,Bibiche,1
Anais,bibliothèque,1
Anais,biche,1
Anais,Bichette,3
Anais,bidon,3
Anais,Bidon,1
Anais,bidule,1
Anais,bien,145
Anais,bientôt,2
Anais,bienvenu,1
Anais,bijou,1
Anais,Bijou,2
Anais,billet,5
Anais,bing,7
Anais,bisou,22
Anais,bisous,15
Anais,biz@o,7
Anais,bizarre,2
Anais,bizarres,1
Anais,bla@i,1
Anais,blablablabla@i,1
Anais,blanc,5
Anais,blanche,4
Anais,blé,1
Anais,bleu,51
Anais,bleue,7
Anais,bleus,4
Anais,bloc,2
Anais,bloque,7
Anais,bloquer,1
Anais,bobo,24
Anais,bobos,1
Anais,body,1
Anais,bof,1
Anais,boh,1
Anais,boire,24
Anais,bois,9
Anais,boit,5
Anais,boite,27
Anais,boîte,8
Anais,boites,2
Anais,bon,286
Anais,bong,1
Anais,bonhomme,17
Anais,bonhomme+de+neige,1
Anais,bonjour,3
Anais,bonne,13
Anais,boom,3
Anais,bord,2
Anais,bosse,4
Anais,bosses,1
Anais,botte,8
Anais,bottes,6
Anais,bouche,46
Anais,bouchon,29
Anais,bouchons,2
Anais,boucle,4
Anais,boucles,1
Anais,bouclier,2
Anais,boude,2
Anais,boue,1
Anais,bouge,11
Anais,bougé,1
Anais,bougent,1
Anais,bouger,5
