Speaker,gloss1,total_freq
Alex,a,1820
Alex,A,2
Alex,a@l,33
Alex,a_lot,1
Alex,abc's,1
Alex,abee@c,6
Alex,able,3
Alex,aboard,2
Alex,about,340
Alex,above,13
Alex,absolutely,15
Alex,accident,4
Alex,accidents,1
Alex,achoo,12
Alex,across,6
Alex,act,1
Alex,acting,2
Alex,action,1
Alex,actually,1
Alex,adea@c,1
Alex,Adler's,1
Alex,adventures,2
Alex,Advil,1
Alex,afraid,1
Alex,after,75
Alex,afternoon,4
Alex,again,49
Alex,against,1
Alex,aggravated,3
Alex,aggravating,1
Alex,ago,2
Alex,agree,1
Alex,ah,44
Alex,ahead,97
Alex,ahhah,2
Alex,air,3
Alex,airplane,1
Alex,Al,1
Alex,alarm,1
Alex,Alaska,4
Alex,Alex,568
Alex,Alex's,26
Alex,all,319
Alex,All,1
Alex,alligator,5
Alex,almost,22
Alex,alone,9
Alex,along,1
Alex,alphabet,4
Alex,already,18
Alex,alright,357
Alex,alrightie,1
Alex,also,1
Alex,always,14
Alex,am,20
Alex,Amanda,1
Alex,amazing,2
Alex,ambulance,1
Alex,amigo,2
Alex,an,92
Alex,and,796
Alex,angel,4
Alex,angelfish,2
Alex,animal,4
Alex,animals,12
Alex,ankle,1
Alex,another,132
Alex,answer,1
Alex,answered,1
Alex,answering,1
Alex,ant,1
Alex,Anthony,1
Alex,ants,1
Alex,any,30
Alex,anybody,12
Alex,anymore,16
Alex,anyone,2
Alex,anything,25
Alex,anytime,1
Alex,anyway,4
Alex,anywhere,5
Alex,apart,4
Alex,Apatosaurus,1
Alex,apple,74
Alex,apple's,1
Alex,apples,4
Alex,appointment,1
Alex,aqua,1
Alex,aquarium,1
Alex,are,424
Alex,aren't,2
Alex,ark,1
Alex,arm,5
Alex,arms,14
Alex,around,43
Alex,arrow,3
Alex,art,2
Alex,artist,1
Alex,as,30
Alex,ask,4
Alex,asked,2
Alex,asking,2
Alex,asleep,4
Alex,at,212
Alex,ate,8
Alex,attachments,4
Alex,attack,1
Alex,attention,3
Alex,attractive,1
Alex,aunt,1
Alex,auntie,15
Alex,Auntie,6
Alex,auntie's,1
Alex,Auntie_Louise,1
Alex,available,1
Alex,aw,9
Alex,awake,3
